blockchain,symbol,id,transaction_type,hash,from_address,from_owner,from_owner_type,to_address,to_owner,to_owner_type,timestamp,amount,amount_usd
bitcoin,btc,2010733718,transfer,342979c191c6cf48db2bef13a1d7f273f21905bd83722cd99ee8ad7b33f1d82e,1B5yGRdsuEWKJ5DwrpaXxgAevwJZTVJx88,unknown,unknown,1GkYMZG9FfGGhrWWZYou5CXSRf3s15yr3Y,unknown,unknown,1683141397,2069.3496,58910892
bitcoin,btc,2010739008,transfer,cffb3ef4526969c3f169e51de9e864cc141b5926cb3bfba5530c798470c85ea5,1L75MoPNoPNbPvjr7qUi8tBpV1K5rtxxKt,unknown,unknown,3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,unknown,unknown,1683142262,1526.9038,42917908
ethereum,usdc,2010738709,transfer,e8b8080d458d9c02ab3e3a3548a145cec38f2e8cf9eca3a91f7f265e4cb7620e,6dc487229bc2e59a17b559f97ee81de93d33519e,unknown,unknown,cd531ae9efcce479654c4926dec5f6209531ca7b,unknown,unknown,1683142271,24984200,24849066
ethereum,usdc,2010748268,transfer,f6544a4a620da0390c63cca420a2bbf38cdd2f31a73893d37cc2ca7f671b57e3,a29e963992597b21bcdcaa969d571984869c4ff5,unknown,unknown,c333e80ef2dec2805f239e3f1e810612d294f771,unknown,unknown,1683143507,10000000,10036357
ethereum,usdc,2010748577,transfer,b7702ebf53e98e27d885823a52be6968e7026412a2154c6b5ebb7d889dd84d47,cd531ae9efcce479654c4926dec5f6209531ca7b,unknown,unknown,8ca4099d8943d0dfc9b158486af23c7e2af5567c,unknown,unknown,1683143591,23712550,23745162
ethereum,usdc,2010748596,transfer,4b11a204f4227b04ce91d2c2806683d87771dda826db57bc12151b4c9da1e08a,c333e80ef2dec2805f239e3f1e810612d294f771,unknown,unknown,66e092fd00c4e4eb5bd20f5392c1902d738ae7bc,unknown,unknown,1683143603,10175758,10189753
bitcoin,btc,2010748999,transfer,75e2ff6b9b468166642b1062a623e4fcb72f48866d78481c0101a6ed2e45aa02,3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,unknown,unknown,1KozAUktbJwyjqLF6U5gJHfrr9zvphxjew,unknown,unknown,1683143627,674.69275,19117712
ethereum,usdc,2010751133,transfer,b2bd459a175e19406f57d9861242adee8e02791e41ee04a3f192845f6ec77d99,0a59649758aa4d66e25f08dd01271e891fe52199,unknown,unknown,1136b25047e142fa3018184793aec68fbb173ce4,unknown,unknown,1683143747,14299996,14256058
ethereum,usdc,2010755111,transfer,332188ce517e4370d2d88e6c5b09f67b134a6d89c96573f6944312f7bde17142,4594467601ce92b0d94fc5112722131a535ef0c7,unknown,unknown,a9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,exchange,1683144311,14299996,14226329
bitcoin,btc,2010757458,transfer,f4f25f1f1c4f4280b65b7e19e7269fb1e092b8ca39deaac8a9c51e87c096801d,bc1qws8nxwcrmyhlyjks39mezlmgtrl8q4ax82zdcu,unknown,unknown,bc1qrtm9zk6jp43745zu2h68q5s7jn6dd5cc7sy49g,unknown,unknown,1683144909,2082.8997,59592116
tron,usdt,2010760806,transfer,02f0f395a5cee1ece48c5a3b25e4636f2b9911ce2c30410f743612e36ea02e6b,TGhyeC9Mbfk2fZRZrVcMkvUF6MhWrZwPYK,Binance,exchange,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,Binance,exchange,1683145563,12038223,12016655
ethereum,usdc,2010778659,mint,522cd88a5a51c87a55cdde514856c5ae812ed0448a84fd74344d8e53d00fbd1d,0000000000000000000000000000000000000000,unknown,unknown,55fe002aeff02f77364de339a1292923a15844b8,USDC Treasury,other,1683148223,18018462,17974016
ethereum,usdc,2010779375,transfer,fe139887237930a7b93e8a47160864731438f11b449c5754c03dffd3a494e893,55fe002aeff02f77364de339a1292923a15844b8,USDC Treasury,other,74c749a9987b2cd6913bbf71a9a139bcd372f441,unknown,unknown,1683148463,22000000,21975546
tron,usdt,2010781993,transfer,185ff7199268fab6324f8c525d3cb9b1d894fdcd792f2dbcdab6fb22e7f3aada,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,Binance,exchange,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,Binance,exchange,1683148824,50068040,49797400
tron,usdt,2010782978,transfer,b3e1f8ac3232e5c772293f6521eb11b6f9285aad5a621f12a4405fb34a5c5f97,TTd9qHyjqiUkfTxe3gotbuTMpjU8LEbpkN,Kraken,exchange,TXfrYbjxDPwcwvetb4xYFE5HqikXXha7if,Bitfinex,exchange,1683148941,69995170,70019840
tron,usdt,2010784341,transfer,2150d6a7726059fac53ad63259f182cd61ed1a94e78246e1156e5d341f2c6202,TXFBqBbqJommqZf7BV8NNYzePh97UmJodJ,Bitfinex,exchange,TMhJviFWiaxvqKLdng9dmsi1H5H5yTGEeu,Bitfinex,exchange,1683149355,38546724,38196628
ripple,xrp,2010785152,transfer,7AA70C44605B9EBFE06B1ECC3EAE4ECEBA6F829FAC5373BC678CF877598CE473,rp6vx6zwXkiXTXAZvxhADT7YiLuPhoyZzz,,,,,,,,
ethereum,usdc,2010795399,transfer,e36d6d225d664621009448d8ccbbb8eff335563f3a1e4bc5212e4a87ea5a9e20,072769194c70acb09e291e82cf0b1d26745af911,unknown,unknown,5a24c67b2624bbedd3be0227cbb03c9180ec2a58,unknown,unknown,1683151619,151350000,150837520
ethereum,usdc,2010799975,transfer,39ac2f7148c0d612496e778707ac1c18fc05b3ae39e1f8e944c62c9292ff2c71,5a24c67b2624bbedd3be0227cbb03c9180ec2a58,unknown,unknown,a9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,exchange,1683152111,151350000,152405010
ethereum,usdt,2010802132,transfer,e8f3d244303c957216c3d4d1f4824153d24ac0175c7dd062c745ec63bfaf11d8,8b4c05cf2c5b9c9bbd28c97dd7b183be2017a8f8,unknown,unknown,a9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,exchange,1683152411,15767862,15614025
ethereum,usdc,2010802604,transfer,dd034af82e96c25059d3ac4d67e92c4084c396fb9c201be8211dd0c1835d9bcf,7e0188b0312a26ffe64b7e43a7a91d430fb20673,unknown,unknown,e31a9498a22493ab922bc0eb240313a46525ee0a,unknown,unknown,1683152543,18072004,18167186
ethereum,usdc,2010802896,transfer,a351a9fa15b6eb3bb4c4556fd64d86b4b82ae9d998bf86f6e82c8b4a791e502c,e31a9498a22493ab922bc0eb240313a46525ee0a,unknown,unknown,a9d69f2f56df2cb8b66d0f2c6c867407a1296c5f,unknown,unknown,1683152639,18072792,17988182
ripple,xrp,2010804150,transfer,B5233C814DBF756C08CE2B664030B11FC0CD3C32552367646D812763D1AEF67C,r4wf7enWPxyHtbizyV7ZHiZi5XgwHh4Rzn,,,,,,,,
tron,usdt,2010813868,transfer,f35c89afbd64ef5e2c99ab7965b6dc594413a3466ec35b8f48212a298543f90f,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,Binance,exchange,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,Binance,exchange,1683154824,65584784,65414740
tron,usdt,2010813869,transfer,aa9b82751e1ebf287ed52f76a375ef0b88dcf4593400b65af5d2d231406e5065,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,Binance,exchange,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,Binance,exchange,1683154824,73649650,73458696
bitcoin,btc,2010828790,transfer,18c0e79657d5b6a9b36f0f3ffd76a9998e4335b57466f9cf4a61d0a7d6d9c1e9,1JXYabnV4LCxpK71jNzHcnn15se5j1YecA,unknown,unknown,12x6T3pqPqSakyg4sufHhHGDeB1z6i57xr,unknown,unknown,1683157776,1062.9683,30713732
tron,usdt,2010845462,transfer,03aa5be67185dd907c03eaa61bbacc044b20026f719eba071ba4458fe1351bf0,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,Binance,exchange,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,Binance,exchange,1683160917,1000000000,1003628160
ethereum,usdc,2010849144,transfer,ea5491fa5d1da08b59a864782c11c17b225aafa0a73d911375a2da8f6a26a045,a9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,exchange,915da56c5995eaaf66fd06ba3aed62a4d3bd011a,unknown,unknown,1683161591,15279517,15290394
ethereum,usdc,2010849145,transfer,ea5491fa5d1da08b59a864782c11c17b225aafa0a73d911375a2da8f6a26a045,a9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,exchange,915da56c5995eaaf66fd06ba3aed62a4d3bd011a,unknown,unknown,1683161591,30270000,30291546
bitcoin,btc,2010853338,transfer,557bdce85f443f6d35a331c0f54c543ce5d0132e2ece8792d9af2926371a95e8,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Binance,exchange,,unknown,unknown,1683162578,652.4796,19067914
ethereum,usdc,2010864025,transfer,a5ef7d1d0188fe07181d904244bc31ad1346841b492937a3893bdb05d430e312,3d019cfecd722b76807dd2fad24376306d179277,unknown,unknown,44cc5c9e1741f33078805bd5264cc83451dc9927,unknown,unknown,1683164807,62463250,61842468
ethereum,usdc,2010864285,transfer,71feadf974be4c08db91d51e42aff1796069a5e4d554d38a27cafc635d13fe52,44cc5c9e1741f33078805bd5264cc83451dc9927,unknown,unknown,8d501afb7dd7dada424b8c1f331b5909e44a043f,unknown,unknown,1683164879,62463250,61915236
tron,usdt,2010873394,transfer,1fd027c5b04d5e1f4bd07413c792d50fcd81a3ab0a9415e94bb0125fb2b7c8da,TG13rgpXkMRV1cf13kz7Yy2QUPCuZLx4Sx,unknown,unknown,TEDcZ523WGWbApk2UYPPHzgEyJQwrEkwWg,unknown,unknown,1683166665,12000000,12023515
ethereum,usdt,2010874015,transfer,e9a24eda55665a8e5a75dbb473332ab59432589b8cb8b7774be9228106dd09ff,28c6c06298d514db089934071355e5743bf21d60,Binance,exchange,56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance,exchange,1683166835,60157148,59783420
