cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,1324.4531468376051,0.14592636,25856.23
WBTC-USD,ANN,1011.2883500962345,0.057077438,25864.576
WBTC-USD,CNN,1638.3849464542584,0.35514176,25220.56
WBTC-USD,Random Forrest,252834.02314370364,0.35361459259585204,None
WBTC-USD,Attention-based LSTM,2945.0287453202554,0.04462722289975431,26759.002
WBTC-USD,BiDirectional LSTM,702.8553841095725,0.049704213,25813.238
WBTC-USD,LSTM,832.9851568031075,0.053358655,25897.713
MATIC-USD,RNN,0.04912782198116581,-0.07794443,0.6457179
MATIC-USD,ANN,0.05474560780200031,-0.21765873,0.6487695
MATIC-USD,CNN,0.07605896112348043,0.48777568,0.693642
MATIC-USD,Random Forrest,0.0010923991850194598,0.45351456831836495,None
MATIC-USD,Attention-based LSTM,0.11970632385224993,-0.1212917984763249,0.7267915
MATIC-USD,BiDirectional LSTM,0.043449276427304354,-0.17314865,0.6509969
MATIC-USD,LSTM,0.04539734581443114,-0.17909014,0.6474844
NEAR-USD,RNN,0.18994351774068258,-0.18636854,1.2055112
NEAR-USD,ANN,0.3376769781772775,-0.3676246,1.2061427
NEAR-USD,CNN,0.7935227578739078,0.32722598,1.4546233
NEAR-USD,Random Forrest,0.06036384583028638,0.3601265655043561,None
NEAR-USD,Attention-based LSTM,0.2702217397429968,-0.21472973843361898,1.343216
NEAR-USD,BiDirectional LSTM,0.1047096865761838,-0.2782459,1.2127167
NEAR-USD,LSTM,0.14951191110970488,-0.29990456,1.192184
PAXG-USD,RNN,14.816678319767206,0.013000479,1924.0764
PAXG-USD,ANN,23.820084221088926,0.10471652,1924.6755
PAXG-USD,CNN,175.46707637919172,0.057276048,1759.8134
PAXG-USD,Random Forrest,64.37822157746382,0.05415241745348988,None
PAXG-USD,Attention-based LSTM,32.286153692156006,0.0848512058040477,1933.5035
PAXG-USD,BiDirectional LSTM,18.763536856552605,0.10229306,1922.572
PAXG-USD,LSTM,23.589649590550135,0.09551431,1922.5769
SOL-USD,RNN,0.9117511070712028,-0.118774936,14.985803
SOL-USD,ANN,1.0561189508322608,-0.1660076,14.962859
SOL-USD,CNN,11.262375234916066,0.32391083,13.727886
SOL-USD,Random Forrest,11.659652823323428,0.2889047851764961,None
SOL-USD,Attention-based LSTM,6.682073351558309,-0.10763892041122118,17.606567
SOL-USD,BiDirectional LSTM,0.8051807827105184,-0.14646691,15.205656
SOL-USD,LSTM,1.14727903392563,-0.11301661,14.594963
LINK-USD,RNN,0.3904621236956531,-0.0125716105,5.2888436
LINK-USD,ANN,0.3007187768651007,-0.033827234,5.235637
LINK-USD,CNN,1.2764793444901303,0.42351148,5.321225
LINK-USD,Random Forrest,0.28127873957297245,0.35416073375524515,None
LINK-USD,Attention-based LSTM,1.1868413698005913,-0.00971757253161537,5.5794992
LINK-USD,BiDirectional LSTM,0.26491043223608307,-0.02290971,5.25365
LINK-USD,LSTM,0.2400442211358474,-0.018102456,5.2480183
SHIB-USD,RNN,5.946194461160801e-07,-0.12533663,6.94604e-06
SHIB-USD,ANN,4.168458017565773e-07,-0.29922,6.955704e-06
SHIB-USD,CNN,1.3397305008924666e-05,nan,8.07005e-06
SHIB-USD,Random Forrest,1.5264820266713414e-12,nan,None
SHIB-USD,Attention-based LSTM,4.895337381216705e-07,-0.1497748179609216,7.4285267e-06
SHIB-USD,BiDirectional LSTM,1.1122656382608315e-06,-0.18885382,6.9940434e-06
SHIB-USD,LSTM,4.2968682792280747e-07,-0.2616927,7.1984678e-06
USDT-USD,RNN,0.0006576145008451321,0.020094095,1.0000151
USDT-USD,ANN,0.0008709195043609644,0.0016648659,1.0000408
USDT-USD,CNN,0.005126369776231152,0.0030020995,1.0008671
USDT-USD,Random Forrest,3.7780914278546844e-06,0.0033225304242134107,None
USDT-USD,Attention-based LSTM,0.0015667024286436977,5.720586822487981e-05,1.0001713
USDT-USD,BiDirectional LSTM,0.0007962667713170201,0.0011698172,1.0000331
USDT-USD,LSTM,0.0007167494003784847,0.0010175939,1.0000591
BTC-USD,RNN,781.055046111255,0.022445804,25898.594
BTC-USD,ANN,1670.150717960315,0.054467242,25822.943
BTC-USD,CNN,1639.0532437142774,0.38480547,24275.682
BTC-USD,Random Forrest,176081.00684070966,0.3420322362617495,None
BTC-USD,Attention-based LSTM,2761.701207072266,0.04924917931672945,26245.479
BTC-USD,BiDirectional LSTM,780.3393015239412,0.052840617,25817.201
BTC-USD,LSTM,688.562838809022,0.055616744,25864.58
AAVE-USD,RNN,2.610954506035107,-0.16141087,54.466618
AAVE-USD,ANN,11.036385110422515,-0.30302137,53.446407
AAVE-USD,CNN,29.031113823656295,0.3557516,48.800205
AAVE-USD,Random Forrest,131.36602413042823,0.3739149533006959,None
AAVE-USD,Attention-based LSTM,9.826690251362628,-0.18878884985253375,57.05951
AAVE-USD,BiDirectional LSTM,3.029772461748581,-0.21756078,55.564804
AAVE-USD,LSTM,3.3201005716078953,-0.21622226,56.363003
AVAX-USD,RNN,1.3347760857137365,-0.11367984,11.671034
AVAX-USD,ANN,1.5394365730493829,-0.26045164,11.450981
AVAX-USD,CNN,3.906392849738326,0.35804683,13.1039
AVAX-USD,Random Forrest,2.7520836490988008,0.3173688242516977,None
AVAX-USD,Attention-based LSTM,3.2798184903672265,-0.17695694187871627,13.80266
AVAX-USD,BiDirectional LSTM,0.6535724122020917,-0.20624211,11.660619
AVAX-USD,LSTM,0.8757936301158319,-0.18052739,11.885678
BAT-USD,RNN,0.009615533068108197,-0.027144516,0.17006272
BAT-USD,ANN,0.009890881150364473,-0.0058829333,0.16910294
BAT-USD,CNN,0.046069886294674074,0.25144893,0.2009736
BAT-USD,Random Forrest,0.00032151830798932205,0.3100371007538003,None
BAT-USD,Attention-based LSTM,0.015905929308263036,0.0041824304852181105,0.17500275
BAT-USD,BiDirectional LSTM,0.010298389759532494,0.0006293421,0.16777685
BAT-USD,LSTM,0.010357329975350965,-0.0030990185,0.16619419
DAI-USD,RNN,0.002713215538198397,0.00010988262,0.9997329
DAI-USD,ANN,0.0027348639370632162,-0.002584246,0.99973
