cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,721.2338218304609,0.122541234,30366.348
WBTC-USD,ANN,1155.247363766861,0.11722475,29965.377
WBTC-USD,CNN,1708.0223410640492,0.40376493,29393.373
WBTC-USD,Random Forrest,272439.1685346052,0.35161491151438706,None
WBTC-USD,Attention-based LSTM,1987.2012902062547,0.07362533013429182,29482.035
WBTC-USD,BiDirectional LSTM,748.439539919313,0.097018324,30684.97
WBTC-USD,LSTM,871.4357107940092,0.08865437,29958.73
PAXG-USD,RNN,14.80122504910554,0.037548788,1896.9248
PAXG-USD,ANN,16.540578852461852,-0.023663636,1899.9337
PAXG-USD,CNN,88.26484628433602,0.046551216,1835.6421
PAXG-USD,Random Forrest,65.35746676034948,0.052771467061896005,None
PAXG-USD,Attention-based LSTM,26.909407145973315,-0.011666548600173106,1914.0826
PAXG-USD,BiDirectional LSTM,18.769089994739698,-0.03131296,1894.577
PAXG-USD,LSTM,21.590749982579474,-0.025676375,1900.2163
SOL-USD,RNN,1.4420120345087806,-0.07441906,17.557184
SOL-USD,ANN,2.526674087044627,-0.10840294,16.815193
SOL-USD,CNN,6.054812874933679,0.30820298,17.345196
SOL-USD,Random Forrest,11.37060265099131,0.2644233727635117,None
SOL-USD,Attention-based LSTM,2.8319882755516788,-0.0631233975430876,15.878369
SOL-USD,BiDirectional LSTM,0.8304675373859147,-0.099808656,16.859888
SOL-USD,LSTM,1.213251205943837,-0.07469745,16.900501
MKR-USD,RNN,62.95878179093011,0.034175042,687.19763
MKR-USD,ANN,40.39619301028909,0.07582641,686.0228
MKR-USD,CNN,194.03351046473787,0.3269416,613.3022
MKR-USD,Random Forrest,3730.4282430495923,0.3288935122171952,None
MKR-USD,Attention-based LSTM,58.454346737003824,0.051410321212922286,713.2817
MKR-USD,BiDirectional LSTM,32.92274339385608,0.059822146,684.82294
MKR-USD,LSTM,53.98749305726996,0.07002857,684.21326
LTC-USD,RNN,4.0996209441525995,0.041251,83.949196
LTC-USD,ANN,3.353192204515798,0.049016688,84.12579
LTC-USD,CNN,11.50426950734459,0.3910574,77.477554
LTC-USD,Random Forrest,19.941088613545883,0.36809501240453113,None
LTC-USD,Attention-based LSTM,7.549018198585491,0.04644290311391073,84.50836
LTC-USD,BiDirectional LSTM,4.822331609392627,0.04904297,84.25298
LTC-USD,LSTM,4.487069057709231,0.047898866,82.57575
LINK-USD,RNN,0.23093379464995736,-0.029859623,5.8567896
LINK-USD,ANN,0.42412509112595165,0.024273288,5.8712363
LINK-USD,CNN,1.0025732927905144,0.35396302,5.889082
LINK-USD,Random Forrest,0.34172315740830317,0.3511194729955436,None
LINK-USD,Attention-based LSTM,0.5217467909326874,0.022060836478787985,6.0221424
LINK-USD,BiDirectional LSTM,0.3234751884913513,0.022777773,5.8453794
LINK-USD,LSTM,0.25023874918997363,0.019408725,5.8399043
SHIB-USD,RNN,9.093637223267431e-07,-0.113001905,6.9014486e-06
SHIB-USD,ANN,4.349111154004888e-07,-0.2567256,7.1173513e-06
SHIB-USD,CNN,1.4289708209295033e-05,nan,1.9809278e-05
SHIB-USD,Random Forrest,1.364250279578984e-12,nan,None
SHIB-USD,Attention-based LSTM,1.1771944515375487e-06,-0.1682594689722133,7.307051e-06
SHIB-USD,BiDirectional LSTM,4.496889299528872e-07,-0.16672324,7.2545167e-06
SHIB-USD,LSTM,4.2777860113044253e-07,-0.23335168,7.233062e-06
BTC-USD,RNN,731.4629249228769,0.03956809,30402.326
BTC-USD,ANN,734.2210103768109,0.067602575,30161.646
BTC-USD,CNN,2081.2720657421464,0.34335682,27530.143
BTC-USD,Random Forrest,179458.2186939162,0.3311277360829846,None
BTC-USD,Attention-based LSTM,1270.465548587871,0.051972302948347864,30095.453
BTC-USD,BiDirectional LSTM,666.8209476787036,0.065288804,30663.314
BTC-USD,LSTM,798.0130751494305,0.07354191,29564.81
UNI-USD,RNN,0.0008617243362666449,0.038963087,0.00015932048
UNI-USD,ANN,0.0033342861574455845,-0.033568777,0.00013551506
UNI-USD,CNN,0.001959852674720965,0.034342453,0.0022835766
UNI-USD,Random Forrest,0.0005369962853776425,0.22827382614221503,None
UNI-USD,Attention-based LSTM,0.003911901679499829,0.035176311374266744,0.0001313454
UNI-USD,BiDirectional LSTM,0.000727395021009992,0.085863195,0.00019852062
UNI-USD,LSTM,0.0005500006223857502,0.094059534,0.00016698684
DAI-USD,RNN,0.0024926260091483474,0.0034328185,0.99973226
DAI-USD,ANN,0.0005836237810313281,0.23001774,0.9997335
