cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,707.3895636034692,0.10145286,30501.695
WBTC-USD,ANN,794.5387978297985,0.10738987,30509.215
WBTC-USD,CNN,4996.645583496036,0.35619903,25205.545
WBTC-USD,Random Forrest,271555.1379681495,0.35046459714279415,None
WBTC-USD,Attention-based LSTM,1831.8986528834755,0.08164226780035835,30354.418
WBTC-USD,BiDirectional LSTM,1041.1668330251828,0.09051201,30484.709
WBTC-USD,LSTM,935.4101726131646,0.09748357,30062.832
SOL-USD,RNN,0.8769890857525908,-0.0099039925,19.529215
SOL-USD,ANN,3.7904277595807137,-0.042036302,19.265581
SOL-USD,CNN,7.154052267068548,0.2738795,18.528091
SOL-USD,Random Forrest,11.348592661867201,0.28011733538070344,None
SOL-USD,Attention-based LSTM,1.9897592262373962,-0.010883618184399582,16.792778
SOL-USD,BiDirectional LSTM,1.4033297267195752,-0.027940422,19.332117
SOL-USD,LSTM,1.3442464187550351,-0.06535008,18.437132
PAXG-USD,RNN,13.950744892342714,0.04339034,1898.919
PAXG-USD,ANN,13.91672578676924,-0.010072944,1898.8038
PAXG-USD,CNN,50.33365373036125,0.056299333,1886.57
PAXG-USD,Random Forrest,65.27294241144916,0.052265324876835655,None
PAXG-USD,Attention-based LSTM,64.83812399823589,-0.052767645356265595,1903.2065
PAXG-USD,BiDirectional LSTM,34.115228955976065,-0.017393319,1897.8811
PAXG-USD,LSTM,15.520682414141266,-0.032322567,1904.391
ETH-USD,RNN,84.39810818413872,0.10845316,1929.0021
ETH-USD,ANN,53.81928813444269,0.15859748,1924.9725
ETH-USD,CNN,294.8202701118628,0.40626484,1635.8387
ETH-USD,Random Forrest,1395.2542634020651,0.41375274000322987,None
ETH-USD,Attention-based LSTM,109.30741821401135,0.10275668725321752,1878.3579
ETH-USD,BiDirectional LSTM,63.17041803414869,0.12604053,1921.1643
ETH-USD,LSTM,60.461553608614764,0.12012251,1895.5696
LTC-USD,RNN,3.5395082096569586,0.062065378,113.26993
LTC-USD,ANN,3.398779145247112,0.077843904,111.43343
LTC-USD,CNN,7.0343984405371955,0.38044506,106.064865
LTC-USD,Random Forrest,20.124642934126058,0.362227443248533,None
LTC-USD,Attention-based LSTM,7.335069869439976,0.06830776619550004,96.50923
LTC-USD,BiDirectional LSTM,3.369400140923629,0.07484345,110.98848
LTC-USD,LSTM,3.949735942956858,0.0816996,108.01716
MKR-USD,RNN,40.33415896804116,0.06278816,838.6372
MKR-USD,ANN,43.98374479732796,0.09925825,833.48004
MKR-USD,CNN,235.12108935551086,0.31869748,718.4739
MKR-USD,Random Forrest,3617.5345424513503,0.32572294913619215,None
MKR-USD,Attention-based LSTM,164.88239398619694,0.06645067471373226,764.1687
MKR-USD,BiDirectional LSTM,36.698201819625844,0.08423611,871.9778
MKR-USD,LSTM,42.287239462740864,0.08347478,828.72687
LINK-USD,RNN,0.42523961037292,-0.005681891,6.50424
LINK-USD,ANN,0.4104972709754899,0.03888601,6.4835544
LINK-USD,CNN,2.344942236164768,0.38025331,6.09363
LINK-USD,Random Forrest,0.3060259698605117,0.3553423530819404,None
LINK-USD,Attention-based LSTM,0.564582457629225,0.035355661339097184,6.0708303
LINK-USD,BiDirectional LSTM,1.3939359874203308,0.036662456,6.6632667
LINK-USD,LSTM,0.34818117783890745,0.037766896,6.2442513
SHIB-USD,RNN,7.489533691832554e-07,-0.07473476,8.026561e-06
SHIB-USD,ANN,4.2266411601361124e-07,-0.19259007,8.093563e-06
SHIB-USD,CNN,1.9525112828977427e-05,nan,2.6271264e-06
SHIB-USD,Random Forrest,2.0472945802566077e-12,nan,None
SHIB-USD,Attention-based LSTM,2.121439370653206e-06,-0.054872848976657396,7.682027e-06
SHIB-USD,BiDirectional LSTM,3.7592882399124197e-07,-0.13071191,7.733295e-06
SHIB-USD,LSTM,4.481873952281675e-07,-0.20136471,7.588157e-06
BTC-USD,RNN,633.9406561595496,0.043488577,30501.025
BTC-USD,ANN,1157.3660178764624,0.07200411,30332.867
BTC-USD,CNN,1977.329596835212,0.33155406,27752.584
BTC-USD,Random Forrest,184936.44395328686,0.33098121508185785,None
BTC-USD,Attention-based LSTM,1510.8722097085042,0.06797281579526475,30553.502
BTC-USD,BiDirectional LSTM,978.3771588281157,0.0733955,30514.951
BTC-USD,LSTM,706.5286780947147,0.07423667,30251.533
AAVE-USD,RNN,2.892008582763069,-0.027719244,70.40408
AAVE-USD,ANN,3.5444757524257793,-0.022002801,69.757744
AAVE-USD,CNN,19.28328067129229,0.34431735,65.9292
AAVE-USD,Random Forrest,127.66806264174983,0.3723079918341848,None
AAVE-USD,Attention-based LSTM,14.173963920542004,0.010354895690997722,61.972103
AAVE-USD,BiDirectional LSTM,3.3490009200629194,0.0004031443,71.56008
AAVE-USD,LSTM,5.638749205077321,-0.06533269,65.430504
