cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,657.0907282016572,0.16370554,26949.082
WBTC-USD,ANN,923.271963214508,0.24155688,27216.736
WBTC-USD,CNN,3300.5552095430867,0.36053294,24920.25
WBTC-USD,Random Forrest,262781.18864630995,0.3502786095541526,None
WBTC-USD,LSTM,1026.018688146072,0.23921026,26905.084
MKR-USD,RNN,40.872210213046905,-0.02917628,634.8459
MKR-USD,ANN,39.3831830676979,0.008451644,638.181
MKR-USD,CNN,163.46077502824,0.3662267,665.86523
MKR-USD,Random Forrest,3791.7747671475045,0.33057185409494205,None
MKR-USD,LSTM,33.54733738129636,0.021321738,649.70575
LTC-USD,RNN,2.82161290786574,0.053536423,80.72084
LTC-USD,ANN,3.551082515945987,0.048709616,80.77062
LTC-USD,CNN,16.407694100966474,0.39344242,70.605545
LTC-USD,Random Forrest,19.575391537471553,0.37542851617723644,None
LTC-USD,LSTM,4.200046885058815,0.049503323,82.62226
NEAR-USD,RNN,0.12168660413877093,-0.14727129,1.6314406
NEAR-USD,ANN,0.19805086037406486,-0.14297678,1.6184719
NEAR-USD,CNN,0.686780102765217,0.3216446,1.7583466
NEAR-USD,Random Forrest,0.061312868352569175,0.3430603833846404,None
NEAR-USD,LSTM,0.10159553006555552,-0.0803962,1.6714473
LINK-USD,RNN,0.5852300823587074,-4.9272927e-05,6.590139
LINK-USD,ANN,0.4244490041683976,0.03965004,6.522264
LINK-USD,CNN,1.0557545542836504,0.3942247,6.7526026
LINK-USD,Random Forrest,0.26020344082271796,0.35910172429340986,None
LINK-USD,LSTM,0.4957453751678873,0.03432851,6.519179
MATIC-USD,RNN,0.044972380331120686,0.024191754,0.86115915
MATIC-USD,ANN,0.11272209961500662,-0.022283047,0.8653699
MATIC-USD,CNN,0.11075443058130283,0.52189493,0.87976325
MATIC-USD,Random Forrest,0.0010778493678408269,0.46243754619855454,None
MATIC-USD,LSTM,0.049634388840385214,-0.03403862,0.84972876
PAXG-USD,RNN,20.204584994800964,0.11094612,2024.0782
PAXG-USD,ANN,18.344610117543898,0.09532849,2025.3625
PAXG-USD,CNN,158.35343957422785,0.050437212,1850.9304
PAXG-USD,Random Forrest,68.5738096469779,0.052840903080271215,None
PAXG-USD,LSTM,23.521813961973088,0.08633513,2035.8308
SHIB-USD,RNN,1.0241997484386962e-06,-0.14746314,9.02155e-06
SHIB-USD,ANN,1.1774623598220602e-06,-0.105109945,8.931743e-06
SHIB-USD,CNN,1.9185871973269445e-05,0.00017925106,1.6556899e-06
SHIB-USD,Random Forrest,1.376736241106668e-12,nan,None
SHIB-USD,LSTM,5.057357725134345e-07,-0.09082716,9.27314e-06
SOL-USD,RNN,0.9776734462305396,-0.03681227,20.646685
SOL-USD,ANN,2.2466121879919596,-0.058276374,20.435532
SOL-USD,CNN,7.211670810496194,0.35517216,22.00301
SOL-USD,Random Forrest,12.061228380406469,0.30137336441882373,None
SOL-USD,LSTM,1.217581040465334,-0.0444612,20.54251
UNI-USD,RNN,0.001704887351023346,0.018273052,0.00010639996
UNI-USD,ANN,0.0009531529645951887,-0.0045959316,0.00010666692
UNI-USD,CNN,0.001133507840723422,0.063362,0.0011359435
UNI-USD,Random Forrest,0.0005577740832653751,0.2826431141316354,None
UNI-USD,LSTM,0.0004774197684269335,0.02080882,0.00010538577
USDT-USD,RNN,0.000830557226894817,0.01283634,1.0007113
USDT-USD,ANN,0.0007302382666670854,0.037024084,1.0007015
USDT-USD,CNN,0.0054257163338425115,nan,1.0018475
USDT-USD,Random Forrest,3.988229469713048e-06,0.0032422121197360804,None
USDT-USD,LSTM,0.0006932558012051964,0.037239,1.0006341
BTC-USD,RNN,684.868680313528,0.05376616,26888.82
BTC-USD,ANN,742.8072224918601,0.030178579,26822.746
BTC-USD,CNN,1913.2859311346388,0.32094583,25879.676
BTC-USD,Random Forrest,191001.5763689132,0.33121706478806523,None
BTC-USD,LSTM,848.264507862957,0.03510416,26972.85
SUSHI-USD,RNN,0.24356529786385017,-0.24339786,0.8834093
SUSHI-USD,ANN,0.0633542302844946,-0.25218573,0.8848509
SUSHI-USD,CNN,0.7299721972935445,0.44449985,1.0521294
SUSHI-USD,Random Forrest,0.12633499578331736,0.42016764241870247,None
SUSHI-USD,LSTM,0.11994472589863654,-0.1953242,0.9438038
YFI-USD,RNN,1333.1822322207258,-0.0054745884,6846.588
YFI-USD,ANN,1023.5370540468191,-0.1350239,6866.3296
YFI-USD,CNN,2478.430807467204,0.3647329,6473.4873
YFI-USD,Random Forrest,4020664.483539145,0.3873600299503044,None
YFI-USD,LSTM,500.8365871800313,-0.10275432,7107.608
DOGE-USD,RNN,0.00921189214098883,0.0418241,0.07246468
DOGE-USD,ANN,0.006022987575515957,-0.0032335687,0.07261313
DOGE-USD,CNN,0.011305442247341757,0.45119154,0.0746281
DOGE-USD,Random Forrest,5.786308106982561e-05,0.4119290606080796,None
DOGE-USD,LSTM,0.004016988767197829,-0.0029343725,0.07337764
BAT-USD,RNN,0.025665798537708485,-0.024562836,0.2150247
BAT-USD,ANN,0.010027126200278985,0.009091595,0.21283391
BAT-USD,CNN,0.042472854635594415,0.30552316,0.22735716
BAT-USD,Random Forrest,0.0003176555535187074,0.31266215935535535,None
BAT-USD,LSTM,0.013774476907849414,0.0039688274,0.2215786
BCH-USD,RNN,23.851340106062004,0.017005678,114.946236
BCH-USD,ANN,38.78840155449683,0.048294567,114.67703
BCH-USD,CNN,64.93126421285321,0.33643547,115.56996
BCH-USD,Random Forrest,2840.2840208962075,0.32290195528673427,None
BCH-USD,LSTM,9.595156652937595,0.036563717,113.88809
AAVE-USD,RNN,9.388615621327713,-0.13226305,63.3087
AAVE-USD,ANN,3.4332725659199173,-0.13190164,63.057766
AAVE-USD,CNN,21.805393990055283,0.39489645,59.11538
AAVE-USD,Random Forrest,129.5604391008799,0.3737245803767042,None
AAVE-USD,LSTM,4.035684399904165,-0.122182235,64.4089
ETH-USD,RNN,87.81423007032285,0.06497884,1801.6506
ETH-USD,ANN,48.79119908939891,0.15612023,1805.5605
ETH-USD,CNN,99.52907323846382,0.4460296,1756.9225
ETH-USD,Random Forrest,1256.5082695614221,0.40855601805582037,None
ETH-USD,LSTM,54.84681282139827,0.14719358,1826.4579
DAI-USD,RNN,0.0034037698665828914,0.0022414948,1.0000559
DAI-USD,ANN,0.002780160006471748,0.0037834828,0.999959
DAI-USD,CNN,0.007405148535064741,0.00066401844,1.0022045
DAI-USD,Random Forrest,7.033549411312271e-06,0.0041582888594814535,None
DAI-USD,LSTM,0.0028543586516426036,0.0007250219,0.9997563
AVAX-USD,RNN,0.8565465972581164,-0.0909665,15.124901
AVAX-USD,ANN,1.3069375665685954,-0.03591359,15.058001
AVAX-USD,CNN,7.625008096223188,0.32588,13.636418
AVAX-USD,Random Forrest,2.8600283351804334,0.34002826206451764,None
AVAX-USD,LSTM,0.9203765941273492,-0.0137993805,15.116562
