cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,675.1966434415997,0.16765426,27048.342
WBTC-USD,ANN,994.6401017849388,0.109805055,27381.088
WBTC-USD,CNN,3317.6293887903657,0.38195595,24392.867
WBTC-USD,Random Forrest,272849.1980805892,0.3598837488631461,None
WBTC-USD,Attention-based LSTM,1823.4736920491282,0.07067761324603469,26998.605
WBTC-USD,BiDirectional LSTM,743.5890814651784,0.08153954,27024.568
WBTC-USD,LSTM,943.7871334276364,0.10497055,27085.361
USDT-USD,RNN,0.0006466093557399928,0.02730993,1.0003383
USDT-USD,ANN,0.0007894891720434243,0.0044097556,1.0003273
USDT-USD,CNN,0.00482487360733572,7.015543e-05,1.0016654
USDT-USD,Random Forrest,3.660192469592722e-06,0.0030177151194228724,None
USDT-USD,Attention-based LSTM,0.0032802577690482283,0.003248656186885638,1.0003301
USDT-USD,BiDirectional LSTM,0.0016838202919407855,0.002178087,1.0003202
USDT-USD,LSTM,0.0007075427965733985,0.0020788047,1.0003058
UNI-USD,RNN,0.0024585448327548685,0.019080322,0.00010577929
UNI-USD,ANN,0.001086394822652716,0.074360974,0.00010533669
UNI-USD,CNN,0.0049077998780969875,0.08534823,0.0001594738
UNI-USD,Random Forrest,0.0005492684069405374,0.2830187743518974,None
UNI-USD,Attention-based LSTM,0.0034935722961714362,-0.1339318826142617,0.00010555312
UNI-USD,BiDirectional LSTM,0.0003654207087989655,-0.011046244,0.00010593017
UNI-USD,LSTM,0.0002169706369242669,-0.14032276,0.00010706962
ETH-USD,RNN,78.82497581743793,0.105648205,1868.2399
ETH-USD,ANN,57.97889978014051,0.14607598,1872.3318
ETH-USD,CNN,133.16406705504,0.39930436,1769.9388
ETH-USD,Random Forrest,1218.5640275050614,0.41504577812365234,None
ETH-USD,Attention-based LSTM,261.7902128196264,0.09936872041692248,1837.3104
ETH-USD,BiDirectional LSTM,45.59525932513293,0.12749903,1866.373
ETH-USD,LSTM,75.4411575546685,0.12504849,1863.9532
SOL-USD,RNN,1.3095164832001933,-0.022576924,20.578213
SOL-USD,ANN,1.0592257586208682,0.050676893,20.731674
SOL-USD,CNN,8.074305227040467,0.262806,19.643497
SOL-USD,Random Forrest,10.703333611742428,0.2910881219435732,None
SOL-USD,Attention-based LSTM,2.367209853042018,0.07972061617025843,20.075912
SOL-USD,BiDirectional LSTM,1.2930993142253737,0.05136419,20.542728
SOL-USD,LSTM,1.0965339378396504,0.028599583,20.675848
MATIC-USD,RNN,0.044018479228167214,0.04626535,0.88920856
MATIC-USD,ANN,0.04584414603651804,-0.082771294,0.89225274
MATIC-USD,CNN,0.12128738685993405,0.47309506,0.8852371
MATIC-USD,Random Forrest,0.0011072685587624447,0.45854226544929566,None
MATIC-USD,Attention-based LSTM,0.10296026076406638,-0.0526598536028858,0.9011813
MATIC-USD,BiDirectional LSTM,0.042395125353165315,-0.0725817,0.89307773
MATIC-USD,LSTM,0.060141651841086774,-0.072863884,0.8854443
DAI-USD,RNN,0.0024215304816368674,0.0009496684,0.9997292
DAI-USD,ANN,0.0027740682811572704,0.0013994803,0.999733
DAI-USD,CNN,0.006771915634044902,0.00081907574,1.0019842
DAI-USD,Random Forrest,6.843964539095222e-06,0.004204219536878715,None
DAI-USD,Attention-based LSTM,0.00365443758685257,0.0020296038067497647,0.9998072
DAI-USD,BiDirectional LSTM,0.00308692774197086,0.0022075053,0.99978393
DAI-USD,LSTM,0.003174207054683447,0.002533533,0.99976224
PAXG-USD,RNN,16.825873048780828,0.04645473,1976.2749
PAXG-USD,ANN,21.377960568715462,0.1191618,1973.3282
PAXG-USD,CNN,116.02860492376185,0.051743463,1877.7267
PAXG-USD,Random Forrest,68.72898748539454,0.05403674240304304,None
PAXG-USD,Attention-based LSTM,41.56337481035391,0.10867714730596223,1976.6825
PAXG-USD,BiDirectional LSTM,16.455477822354954,0.12296736,1978.4753
PAXG-USD,LSTM,17.0200110102507,0.14761837,1980.9147
DOGE-USD,RNN,0.004844754565510222,-0.0035823255,0.071090855
DOGE-USD,ANN,0.007336134434863847,-0.057677202,0.07137427
DOGE-USD,CNN,0.014600527200741262,0.4394493,0.08370243
DOGE-USD,Random Forrest,7.068357180375544e-05,0.40965003637983394,None
DOGE-USD,Attention-based LSTM,0.01899230238911644,-0.028842933454599696,0.07286725
DOGE-USD,BiDirectional LSTM,0.009755990967621806,-0.042349286,0.07146595
DOGE-USD,LSTM,0.005416671724099712,-0.049641423,0.07156962
SHIB-USD,RNN,4.275005988168988e-07,-0.10338161,8.146124e-06
SHIB-USD,ANN,3.679460027733066e-07,-0.13695766,8.473842e-06
SHIB-USD,CNN,3.662186177173801e-05,nan,-2.2733133e-05
SHIB-USD,Random Forrest,1.6817110814386082e-12,nan,None
SHIB-USD,Attention-based LSTM,7.816719020783847e-07,-0.07835350608911082,8.8112965e-06
SHIB-USD,BiDirectional LSTM,7.064917048094015e-07,-0.05837567,8.346017e-06
SHIB-USD,LSTM,4.1695127807267094e-07,-0.071245536,8.506052e-06
AAVE-USD,RNN,2.6058192462305683,-0.11938578,63.270885
AAVE-USD,ANN,3.607015731798254,-0.09378776,64.40372
AAVE-USD,CNN,21.776090014392434,0.3715271,62.29278
AAVE-USD,Random Forrest,133.57061020675184,0.36714612960249665,None
AAVE-USD,Attention-based LSTM,10.591001298686027,-0.06212015631505601,64.68785
AAVE-USD,BiDirectional LSTM,3.338117982932005,-0.061996087,62.935787
AAVE-USD,LSTM,3.0806438719856506,-0.12636,64.6475
LINK-USD,RNN,0.3335673955777764,-0.0016615799,6.3776574
LINK-USD,ANN,0.30413921061932,-0.012569725,6.4520926
LINK-USD,CNN,1.6517235791550513,0.3957482,6.3374925
LINK-USD,Random Forrest,0.2761391902696305,0.3617375502652007,None
LINK-USD,Attention-based LSTM,1.1686877435972902,0.005634583142678193,6.511111
LINK-USD,BiDirectional LSTM,0.5753970372485825,-0.00041858415,6.379119
LINK-USD,LSTM,0.31239224609633814,-0.008312409,6.457615
MKR-USD,RNN,34.722994916870114,-0.020375581,640.43933
MKR-USD,ANN,33.4488665006053,0.023307461,639.1804
MKR-USD,CNN,94.68713570707125,0.32323492,623.86206
MKR-USD,Random Forrest,3546.462022681042,0.3264977240234101,None
MKR-USD,Attention-based LSTM,101.45914539637532,0.0312852354776621,640.20374
MKR-USD,BiDirectional LSTM,41.14225597461047,0.026405977,639.6327
MKR-USD,LSTM,35.488282988820664,0.025026802,639.78516
