cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,732.8206841100881,0.15854324,27056.295
WBTC-USD,ANN,1147.1373097193105,0.13456543,26991.402
WBTC-USD,CNN,3089.857043340842,0.34380883,24151.209
WBTC-USD,Random Forrest,265851.8851707208,0.35107411867350685,None
WBTC-USD,Attention-based LSTM,2031.410417010487,0.08633295629429213,27512.383
WBTC-USD,BiDirectional LSTM,1225.9580555917312,0.11829242,27232.91
WBTC-USD,LSTM,827.7435765298194,0.14233468,27182.414
BCH-USD,RNN,24.084394886019215,0.013332448,115.21163
BCH-USD,ANN,8.274505541823402,0.01945104,115.36092
BCH-USD,CNN,66.47659084444112,0.32512507,110.198105
BCH-USD,Random Forrest,2928.9159672444507,0.33542426038013395,None
BCH-USD,Attention-based LSTM,49.60380164190379,0.019002463260581352,114.85289
BCH-USD,BiDirectional LSTM,6.885168436243649,0.021129956,115.4209
BCH-USD,LSTM,11.638364794084694,0.02092558,114.49207
DAI-USD,RNN,0.002407738783783033,-0.00057753245,0.99972075
DAI-USD,ANN,0.0027750016734969236,0.0016686014,0.9997449
DAI-USD,CNN,0.011118961192220653,0.0015154951,1.0015713
DAI-USD,Random Forrest,7.0137511999966674e-06,0.004198244490098453,None
DAI-USD,Attention-based LSTM,0.002841493906918885,0.0011285047893311955,0.9997208
DAI-USD,BiDirectional LSTM,0.0030573865746394463,0.0018041666,0.99969155
DAI-USD,LSTM,0.003028839323709335,0.0022331488,0.99970806
DOGE-USD,RNN,0.004342935006948815,-0.07877194,0.07259393
DOGE-USD,ANN,0.005275003425019403,-0.08072581,0.072566874
DOGE-USD,CNN,0.012141279279355315,0.37971205,0.06944491
DOGE-USD,Random Forrest,7.431657954609594e-05,0.4200240011628722,None
DOGE-USD,Attention-based LSTM,0.007914480254009593,-0.03436356751921174,0.07274619
DOGE-USD,BiDirectional LSTM,0.007026177241758704,-0.056167483,0.07437681
DOGE-USD,LSTM,0.004121655264061615,-0.062249526,0.07409384
ETH-USD,RNN,52.99603271587275,0.045144,1842.7413
ETH-USD,ANN,54.226855236458505,0.12798291,1833.4878
ETH-USD,CNN,169.97482430088388,0.3948561,1651.6874
ETH-USD,Random Forrest,1316.8221475763971,0.4128857875894241,None
ETH-USD,Attention-based LSTM,109.14183283657816,0.08756135667233797,1815.4878
ETH-USD,BiDirectional LSTM,58.143371770032445,0.10614215,1840.1777
ETH-USD,LSTM,55.74057348249632,0.11696002,1838.7031
UNI-USD,RNN,0.00019469693459648425,-0.08827051,0.00010783387
UNI-USD,ANN,0.0008500166298162047,0.00187023,0.000107686814
UNI-USD,CNN,0.0010052901464390565,0.05186449,0.00022947686
UNI-USD,Random Forrest,0.0005525400091358115,0.24393278104972416,None
UNI-USD,Attention-based LSTM,0.0024647220413447344,0.04596382059857448,0.00010710995
UNI-USD,BiDirectional LSTM,0.00013665473491113178,0.086608164,0.00010793659
UNI-USD,LSTM,0.0010572858797395848,0.07098096,0.00010708515
MKR-USD,RNN,72.89631769038047,-0.018738864,634.5606
