cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,663.6369772860643,0.15492032,26497.037
WBTC-USD,ANN,801.1906657970587,0.07385521,26532.424
WBTC-USD,CNN,3273.8168176525237,0.3544174,24119.973
WBTC-USD,Random Forrest,251901.44723063358,0.35197649283925475,None
WBTC-USD,Attention-based LSTM,1534.6202041949425,0.05645312347356247,27015.457
WBTC-USD,BiDirectional LSTM,868.306956985253,0.052540604,26393.184
WBTC-USD,LSTM,800.5916794070032,0.069527514,26157.834
PAXG-USD,RNN,21.479827773889248,0.013697138,1929.7737
PAXG-USD,ANN,17.565501984830007,0.09914147,1930.085
PAXG-USD,CNN,172.04940724351795,0.052113365,1787.1721
PAXG-USD,Random Forrest,64.40207993281531,0.054505763230516216,None
PAXG-USD,Attention-based LSTM,56.955177864552816,0.07646426970362899,1963.6508
PAXG-USD,BiDirectional LSTM,21.186909347897984,0.09201322,1928.9142
PAXG-USD,LSTM,22.372278022252257,0.11942862,1931.538
AVAX-USD,RNN,1.5321689008842345,-0.08160846,14.010718
AVAX-USD,ANN,3.1756129274044276,-0.13410123,14.120626
AVAX-USD,CNN,5.86671181735954,0.35084805,12.956942
AVAX-USD,Random Forrest,2.784790441832462,0.3185979416080398,None
AVAX-USD,Attention-based LSTM,2.9712852838036428,-0.10321242195374497,14.419894
AVAX-USD,BiDirectional LSTM,0.852851756517878,-0.10102319,13.977963
AVAX-USD,LSTM,0.725425383045217,-0.08602216,13.858368
BAT-USD,RNN,0.010736145526842544,-0.006360512,0.19708982
BAT-USD,ANN,0.00986359608180127,0.013009285,0.19685797
BAT-USD,CNN,0.04712029692540913,0.27223003,0.22764122
BAT-USD,Random Forrest,0.00029938115500438876,0.306021830769557,None
BAT-USD,Attention-based LSTM,0.021225259982495533,0.02352598076446129,0.20994228
BAT-USD,BiDirectional LSTM,0.014055718677673442,0.017150765,0.19594727
BAT-USD,LSTM,0.010564791160979947,0.010526974,0.19804348
YFI-USD,RNN,806.5620358767302,-0.1389568,6032.2246
YFI-USD,ANN,408.84112550051344,-0.30479178,6014.713
YFI-USD,CNN,2947.8088270691483,0.38477588,5729.2417
YFI-USD,Random Forrest,731573.745111463,0.3582870983258826,None
YFI-USD,Attention-based LSTM,1206.903868754715,-0.14997741915762294,6350.683
YFI-USD,BiDirectional LSTM,510.04900601251995,-0.20683722,6022.78
YFI-USD,LSTM,311.0933702949934,-0.17018832,5977.313
DAI-USD,RNN,0.0024363178699549543,-0.0033258214,0.99963456
DAI-USD,ANN,0.002739060156869708,-0.004615057,0.99965245
DAI-USD,CNN,0.007476769313445172,0.0021757456,1.0002253
DAI-USD,Random Forrest,6.650064409725608e-06,0.002861645574260822,None
DAI-USD,Attention-based LSTM,0.0038304229275956964,-0.00011216163327138234,0.99955213
DAI-USD,BiDirectional LSTM,0.003291035005132694,0.00015604284,0.99948955
DAI-USD,LSTM,0.0029661781530951298,0.0008068064,0.99940526
DOGE-USD,RNN,0.005520524264851527,-0.027511386,0.06768763
DOGE-USD,ANN,0.005577256547299909,-0.037534058,0.067649566
DOGE-USD,CNN,0.013265089354366289,0.44003728,0.059875153
DOGE-USD,Random Forrest,7.019051947467144e-05,0.3984303312005144,None
DOGE-USD,Attention-based LSTM,0.02425654162676477,-0.00830919978783342,0.071267836
DOGE-USD,BiDirectional LSTM,0.003354702166138524,-0.0241182,0.06861937
DOGE-USD,LSTM,0.003445694970612686,-0.01962632,0.06970443
ETH-USD,RNN,92.1995915196094,0.10713366,1846.3383
ETH-USD,ANN,55.385204203203536,0.150189,1846.271
ETH-USD,CNN,91.16143812465317,0.44856605,1807.1637
ETH-USD,Random Forrest,1251.1347491092172,0.4034427895620967,None
ETH-USD,Attention-based LSTM,91.99792927208297,0.10989704747459414,1864.4567
ETH-USD,BiDirectional LSTM,47.06558135150599,0.13743985,1843.1926
ETH-USD,LSTM,51.98617663419527,0.14018647,1833.9951
MATIC-USD,RNN,0.04254540154028115,-0.0013767795,0.7837861
MATIC-USD,ANN,0.04349658272390727,-0.15447028,0.78830034
MATIC-USD,CNN,0.1148840944966691,0.47538054,0.7695223
MATIC-USD,Random Forrest,0.0011103050351240463,0.44790024736492584,None
MATIC-USD,Attention-based LSTM,0.07727418201186594,-0.11623345581475063,0.8652913
MATIC-USD,BiDirectional LSTM,0.04176615716153728,-0.12869671,0.7824671
MATIC-USD,LSTM,0.046099288774703304,-0.1382707,0.7909055
MKR-USD,RNN,70.94029840695545,0.008055204,627.7037
MKR-USD,ANN,36.418264029286895,0.045133334,630.0878
MKR-USD,CNN,147.50773536795006,0.31921932,582.39655
MKR-USD,Random Forrest,3542.7738243021467,0.3309319990808713,None
MKR-USD,Attention-based LSTM,143.8717949986164,0.036719087921246715,653.4479
MKR-USD,BiDirectional LSTM,32.059054737283624,0.040978428,629.02277
MKR-USD,LSTM,55.317745965548035,0.043486323,625.67816
LTC-USD,RNN,3.024649947055238,0.05908461,88.0774
LTC-USD,ANN,4.885137189320902,0.06554925,88.1307
LTC-USD,CNN,11.208743593030796,0.42599347,81.76107
LTC-USD,Random Forrest,20.232594672994264,0.3743979135088138,None
LTC-USD,Attention-based LSTM,9.077514173915345,0.06010709771404328,90.31943
LTC-USD,BiDirectional LSTM,2.94452345794653,0.06329355,88.63592
LTC-USD,LSTM,3.9421179076337185,0.06493665,87.941826
NEAR-USD,RNN,0.08257177352505451,-0.14687255,1.4192426
NEAR-USD,ANN,0.21846541712619008,-0.24210006,1.4444449
NEAR-USD,CNN,1.2454769665933156,0.34631604,1.4696321
NEAR-USD,Random Forrest,0.0626136827409149,0.3565406978776286,None
NEAR-USD,Attention-based LSTM,0.4041798097082965,-0.14479116533899494,1.5216535
NEAR-USD,BiDirectional LSTM,0.07597579876617246,-0.1689351,1.4120619
NEAR-USD,LSTM,0.16346414931459796,-0.14579664,1.4236944
LINK-USD,RNN,0.4268321640831717,0.0030476276,5.9839864
LINK-USD,ANN,0.2520463190613198,-0.0035397098,6.0141273
LINK-USD,CNN,1.5517058840089701,0.41883013,5.684865
LINK-USD,Random Forrest,0.2732528030732715,0.34277588445201196,None
LINK-USD,Attention-based LSTM,0.6627714443135053,0.012135889596706143,6.2610917
LINK-USD,BiDirectional LSTM,0.37638608564477205,0.008738334,5.9731984
LINK-USD,LSTM,0.3239955271062382,0.007812401,5.9584723
SHIB-USD,RNN,4.949922125257283e-07,-0.122059375,7.942917e-06
SHIB-USD,ANN,5.595416091684372e-07,-0.1879965,7.889794e-06
SHIB-USD,CNN,2.2495882587129852e-05,nan,3.2994838e-05
SHIB-USD,Random Forrest,1.5193200684416212e-12,nan,None
SHIB-USD,Attention-based LSTM,2.104974876888875e-06,-0.1108320351540091,8.332432e-06
SHIB-USD,BiDirectional LSTM,4.609659391331186e-07,-0.11408203,8.119885e-06
SHIB-USD,LSTM,4.3209265036534244e-07,-0.14169037,7.984488e-06
SOL-USD,RNN,0.9139501167542221,-0.010952904,18.86392
SOL-USD,ANN,1.6521744871868203,-0.0038850692,19.11964
SOL-USD,CNN,12.99956837899224,0.23465985,17.154385
SOL-USD,Random Forrest,11.40372397952836,0.29408819083706667,None
SOL-USD,Attention-based LSTM,4.620261517534418,0.005708352807276143,20.417603
SOL-USD,BiDirectional LSTM,1.975978191229188,-0.024659082,18.812323
SOL-USD,LSTM,0.9118149762083326,0.006524125,19.235888
UNI-USD,RNN,0.0015286693350663725,-0.004202349,0.000103376355
UNI-USD,ANN,0.003111499814361493,-0.084454656,0.00010354061
UNI-USD,CNN,0.00223644586738159,0.05038059,0.0026011462
UNI-USD,Random Forrest,0.000546335521465335,0.24673100207566423,None
UNI-USD,Attention-based LSTM,0.0003394979164656138,-0.11102456671887359,0.000102559796
UNI-USD,BiDirectional LSTM,0.001099935883584393,0.080585346,0.00010225135
UNI-USD,LSTM,0.00021745439950153635,-0.18721448,0.00010400754
USDT-USD,RNN,0.0006133414348804573,0.016991861,1.0002344
USDT-USD,ANN,0.0010603356058717533,0.0011905391,1.000224
USDT-USD,CNN,0.005512446823601967,-0.00015103593,1.0010184
USDT-USD,Random Forrest,3.563612208290276e-06,0.00332498287337717,None
USDT-USD,Attention-based LSTM,0.003166989686460457,-0.0006959815228721311,1.0002687
USDT-USD,BiDirectional LSTM,0.001253088343546558,0.00043622786,1.0002062
USDT-USD,LSTM,0.0007409749408183215,0.00043415415,1.0001825
BTC-USD,RNN,635.0719074530695,0.039546486,26486.723
BTC-USD,ANN,720.8873514301863,0.04916809,26528.81
BTC-USD,CNN,4008.9929176322344,0.37794185,21650.992
BTC-USD,Random Forrest,192023.35555794206,0.3343135801240561,None
BTC-USD,Attention-based LSTM,1217.047816958141,0.040224393462165234,26832.62
BTC-USD,BiDirectional LSTM,721.305740119278,0.045078654,26454.195
BTC-USD,LSTM,687.2759569933594,0.05013708,26488.006
BCH-USD,RNN,3.47049465881921,0.026108064,111.69687
BCH-USD,ANN,18.32520029475212,0.03675139,111.783646
BCH-USD,CNN,77.38831410972031,0.3392036,107.902916
BCH-USD,Random Forrest,2603.5978870914305,0.3278186383005508,None
BCH-USD,Attention-based LSTM,94.54743184094954,0.029668979543052473,112.173515
BCH-USD,BiDirectional LSTM,9.195754887308938,0.034578692,112.65348
BCH-USD,LSTM,20.220028473355736,0.029806662,111.88965
SUSHI-USD,RNN,0.0903461499155042,-0.26884237,0.74407125
SUSHI-USD,ANN,0.13374324592724673,-0.25796553,0.7423925
SUSHI-USD,CNN,0.952206536525038,0.3910072,0.9736277
SUSHI-USD,Random Forrest,0.1330453191593217,0.41184930822546123,None
SUSHI-USD,Attention-based LSTM,0.49787624749667286,-0.175451426664688,0.82861584
SUSHI-USD,BiDirectional LSTM,0.043656082552853796,-0.18034795,0.7445269
SUSHI-USD,LSTM,0.043869649003247954,-0.18108827,0.7477066
AAVE-USD,RNN,5.160560834073358,-0.14222303,59.81857
AAVE-USD,ANN,5.4618199314223315,-0.1711178,59.91291
AAVE-USD,CNN,48.832596715833816,0.39302096,48.614365
AAVE-USD,Random Forrest,130.48160174397802,0.3643008650513856,None
AAVE-USD,Attention-based LSTM,7.1558459932385,-0.10698193412789221,62.963005
AAVE-USD,BiDirectional LSTM,4.3520246484995395,-0.1275365,59.861584
