cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,1089.1705148501308,0.085525945,28454.963
WBTC-USD,ANN,822.0256191331963,0.10540759,28875.193
WBTC-USD,CNN,2640.042732341676,0.38124818,27139.893
WBTC-USD,Random Forrest,272673.96799752716,0.35227325902721834,None
WBTC-USD,Attention-based LSTM,1595.0642000301707,0.08534447961738378,29304.215
WBTC-USD,BiDirectional LSTM,1253.5749156643992,0.09670275,28486.83
WBTC-USD,LSTM,1020.8618749862709,0.10858388,28614.275
PAXG-USD,RNN,17.82071720659869,0.056503817,1914.5153
PAXG-USD,ANN,11.613887637354708,-0.084127106,1911.8313
PAXG-USD,CNN,82.25192818912318,0.05520139,1829.6567
PAXG-USD,Random Forrest,65.9793121517865,0.054537529346936696,None
PAXG-USD,Attention-based LSTM,20.667665575888154,-0.07554554294920138,1900.6655
PAXG-USD,BiDirectional LSTM,11.879769562035264,-0.08832555,1915.8228
PAXG-USD,LSTM,14.540408272648778,-0.07083422,1906.7496
SOL-USD,RNN,0.971623923193633,0.036201905,22.037117
SOL-USD,ANN,1.1207587140927846,-0.027432319,21.251192
SOL-USD,CNN,8.371936625835032,0.4336013,21.32859
SOL-USD,Random Forrest,12.133970392609694,0.27190529224973725,None
SOL-USD,Attention-based LSTM,4.146839037609429,-0.027212072861743337,19.829216
SOL-USD,BiDirectional LSTM,1.0225661952984473,-0.026998803,21.720081
SOL-USD,LSTM,1.0655401736602843,-0.035249744,21.498615
BCH-USD,RNN,7.909608012481279,0.13556105,263.85666
BCH-USD,ANN,21.173431733712565,0.13367592,269.27994
BCH-USD,CNN,62.133317498411884,0.32099223,279.21698
BCH-USD,Random Forrest,2524.3212166032536,0.3313871592377293,None
BCH-USD,Attention-based LSTM,22.073706424817022,0.11341569976054432,279.33685
BCH-USD,BiDirectional LSTM,8.527622467349627,0.12262712,258.97955
BCH-USD,LSTM,12.294371876217859,0.15031914,254.79889
BTC-USD,RNN,678.0957929618633,0.058525294,30663.518
BTC-USD,ANN,707.7671974418389,0.09630834,30594.178
BTC-USD,CNN,2993.4611794623206,0.35114822,25836.447
BTC-USD,Random Forrest,185717.13919921848,0.3333256756510425,None
BTC-USD,Attention-based LSTM,1438.3753369968508,0.07418846788070067,30094.994
BTC-USD,BiDirectional LSTM,613.662194213386,0.09285506,30494.193
BTC-USD,LSTM,701.4114947631433,0.085851565,29804.213
DOGE-USD,RNN,0.004478950077836719,-0.025265507,0.06553891
DOGE-USD,ANN,0.004852748050609649,-0.057682272,0.06509123
DOGE-USD,CNN,0.00927879359921034,0.43860045,0.06743043
DOGE-USD,Random Forrest,7.447363538568362e-05,0.4039338902576422,None
DOGE-USD,Attention-based LSTM,0.014486803544651391,-0.0265231476775973,0.06588335
DOGE-USD,BiDirectional LSTM,0.00496681406582355,-0.037197184,0.06624726
DOGE-USD,LSTM,0.0031966661925020715,-0.038539793,0.06642587
ETH-USD,RNN,44.982706957487565,0.11569338,1877.0973
ETH-USD,ANN,69.59046534576095,0.08417181,1887.283
ETH-USD,CNN,139.43491718173183,0.4441664,1751.2708
ETH-USD,Random Forrest,1236.906279788172,0.40581581765221963,None
ETH-USD,Attention-based LSTM,141.34676072339482,0.05463620031776404,1889.1345
