cryptoName,modelName,RMSE,sharpeRatio,expectedValue
WBTC-USD,RNN,651.3486028662304,0.1580931,27054.264
WBTC-USD,ANN,866.9549309497269,0.20589319,27124.602
WBTC-USD,CNN,2343.924152534662,0.32343897,26097.906
WBTC-USD,Random Forrest,265304.49921018444,0.35060953782742865,None
WBTC-USD,Attention-based LSTM,1830.549857464812,0.12488757617190223,27339.893
WBTC-USD,BiDirectional LSTM,1396.9012988031402,0.17894597,27079.201
WBTC-USD,LSTM,914.5695612513451,0.20360398,27504.246
ETH-USD,RNN,55.620987413642794,0.03693628,1809.8175
ETH-USD,ANN,87.8331644130644,0.14400713,1818.6115
ETH-USD,CNN,219.774237229326,0.4181933,1572.4902
ETH-USD,Random Forrest,1317.6623864097803,0.4128427613357188,None
ETH-USD,Attention-based LSTM,134.0446288211354,0.10871509693248782,1842.4624
ETH-USD,BiDirectional LSTM,72.70114631471739,0.12529545,1807.9623
ETH-USD,LSTM,55.23833783938571,0.12106512,1794.8169
MKR-USD,RNN,44.35433262011249,-0.026100168,628.27094
MKR-USD,ANN,52.89445742588261,0.010518224,631.859
MKR-USD,CNN,121.68285239418054,0.31957918,629.91705
MKR-USD,Random Forrest,3772.2118499240546,0.3370348164643799,None
MKR-USD,Attention-based LSTM,61.26755721243522,0.019464721502804077,633.25946
MKR-USD,BiDirectional LSTM,32.70429865468885,0.016085722,640.6385
MKR-USD,LSTM,44.175019719683355,0.009964655,636.74457
LTC-USD,RNN,3.0852456611663266,0.07065587,90.46165
LTC-USD,ANN,3.1629007833411973,0.06937102,90.50397
LTC-USD,CNN,8.458383583242133,0.41695154,97.29858
LTC-USD,Random Forrest,19.8704854296193,0.3763394933792827,None
LTC-USD,Attention-based LSTM,8.316320968327926,0.05622385746610243,89.74266
LTC-USD,BiDirectional LSTM,3.6029490458016182,0.06465177,91.54268
LTC-USD,LSTM,3.0840804166499054,0.0673685,91.94944
NEAR-USD,RNN,0.08976881473796136,-0.12104931,1.6822622
NEAR-USD,ANN,0.17224528525468563,-0.11912493,1.6782184
NEAR-USD,CNN,1.0700337718273207,0.37944388,1.6619961
NEAR-USD,Random Forrest,0.06092448056265831,0.34668313696311154,None
NEAR-USD,Attention-based LSTM,0.1762820379885699,-0.08631732085609503,1.7271755
NEAR-USD,BiDirectional LSTM,0.20457340225737566,-0.11349911,1.7143959
NEAR-USD,LSTM,0.10202497688465892,-0.10588654,1.6942968
LINK-USD,RNN,0.38941819908745107,-0.0025576022,6.592685
LINK-USD,ANN,0.551543244822929,-0.0049949163,6.6439033
LINK-USD,CNN,1.596810340557217,0.45845538,6.62027
LINK-USD,Random Forrest,0.29453722170481356,0.34849132437783187,None
LINK-USD,Attention-based LSTM,0.8251742320683416,0.004369169267376283,6.622019
LINK-USD,BiDirectional LSTM,0.5407805064979115,0.0028184012,6.603596
LINK-USD,LSTM,0.4787545132331929,-0.0062126224,6.5405188
MATIC-USD,RNN,0.07453507610209194,0.035578076,0.87512016
MATIC-USD,ANN,0.06044184223895605,-0.017150685,0.87559444
MATIC-USD,CNN,0.16854280667209157,0.48249623,0.8427464
MATIC-USD,Random Forrest,0.0010868718641890056,0.4568025335432041,None
